PERMNO,date,SHRCD,TICKER,RET
18158,2024-03-28,73,FLLA,0.007501
18158,2024-04-30,73,FLLA,-0.044269
18158,2024-05-31,73,FLLA,-0.021528
18158,2024-06-28,73,FLLA,-0.068617
18158,2024-07-31,73,FLLA,0.008058
18158,2024-08-30,73,FLLA,0.028072
18158,2024-09-30,73,FLLA,0.008576
18158,2024-10-31,73,FLLA,-0.068580
18158,2024-11-29,73,FLLA,-0.047546
18158,2024-12-31,73,FLLA,-0.055762
18159,2023-01-31,73,FLZA,0.062418
18159,2023-02-28,73,FLZA,-0.092265
18159,2023-03-31,73,FLZA,0.027023
18159,2023-04-28,73,FLZA,0.015052
18159,2023-05-31,73,FLZA,-0.137863
18159,2023-06-30,73,FLZA,0.094322
18159,2023-07-31,73,FLZA,0.118267
18159,2023-08-31,73,FLZA,-0.116851
18159,2023-09-29,73,FLZA,-0.041035
18159,2023-10-31,73,FLZA,-0.012713
18159,2023-11-30,73,FLZA,
18160,2023-01-31,73,FLSA,0.026728
18160,2023-02-28,73,FLSA,-0.067283
18160,2023-03-31,73,FLSA,0.064320
18160,2023-04-28,73,FLSA,0.064874
18160,2023-05-31,73,FLSA,-0.035790
18160,2023-06-30,73,FLSA,0.047960
18160,2023-07-31,73,FLSA,0.017334
18160,2023-08-31,73,FLSA,-0.024311
18160,2023-09-29,73,FLSA,-0.047455
18160,2023-10-31,73,FLSA,-0.023042
18160,2023-11-30,73,FLSA,0.037007
18160,2023-12-29,73,FLSA,0.075054
18160,2024-01-31,73,FLSA,-0.012280
18160,2024-02-29,73,FLSA,0.058451
18160,2024-03-28,73,FLSA,-0.002614
18160,2024-04-30,73,FLSA,-0.021841
18160,2024-05-31,73,FLSA,-0.068153
18160,2024-06-28,73,FLSA,0.015524
18160,2024-07-31,73,FLSA,0.040956
18160,2024-08-30,73,FLSA,0.006211
18160,2024-09-30,73,FLSA,0.012351
18160,2024-10-31,73,FLSA,-0.017503
18160,2024-11-29,73,FLSA,-0.023373
18160,2024-12-31,73,FLSA,0.015406
18161,2023-01-31,73,GTIP,0.019379
18161,2023-02-28,73,GTIP,-0.012023
18161,2023-03-31,73,GTIP,0.030443
18161,2023-04-28,73,GTIP,-0.000089
18161,2023-05-31,73,GTIP,-0.011953
18161,2023-06-30,73,GTIP,-0.002616
18161,2023-07-31,73,GTIP,-0.000381
18161,2023-08-31,73,GTIP,-0.007709
18161,2023-09-29,73,GTIP,-0.019014
18161,2023-10-31,73,GTIP,-0.006752
18161,2023-11-30,73,GTIP,0.026215
18161,2023-12-29,73,GTIP,0.024231
18161,2024-01-31,73,GTIP,0.002988
18161,2024-02-29,73,GTIP,-0.009245
18161,2024-03-28,73,GTIP,0.007353
18161,2024-04-30,73,GTIP,-0.017278
18161,2024-05-31,73,GTIP,0.017480
18161,2024-06-28,73,GTIP,0.008580
18161,2024-07-31,73,GTIP,0.016522
18161,2024-08-30,73,GTIP,0.008271
18161,2024-09-30,73,GTIP,0.015196
18161,2024-10-31,73,GTIP,-0.018496
18161,2024-11-29,73,GTIP,0.005120
18161,2024-12-31,73,GTIP,-0.015539
18165,2023-01-31,73,BOCT,0.051008
18165,2023-02-28,73,BOCT,-0.015770
18165,2023-03-31,73,BOCT,0.029111
18165,2023-04-28,73,BOCT,0.013703
18165,2023-05-31,73,BOCT,0.007192
18165,2023-06-30,73,BOCT,0.054178
18165,2023-07-31,73,BOCT,0.019953
18165,2023-08-31,73,BOCT,0.000178
18165,2023-09-29,73,BOCT,-0.043712
18165,2023-10-31,73,BOCT,-0.014834
18165,2023-11-30,73,BOCT,0.067975
18165,2023-12-29,73,BOCT,0.029967
18165,2024-01-31,73,BOCT,0.012750
18165,2024-02-29,73,BOCT,0.024884
18165,2024-03-28,73,BOCT,0.013524
18165,2024-04-30,73,BOCT,-0.009506
18165,2024-05-31,73,BOCT,0.025645
18165,2024-06-28,73,BOCT,0.011232
18165,2024-07-31,73,BOCT,0.006186
18165,2024-08-30,73,BOCT,0.008909
18165,2024-09-30,73,BOCT,0.005805
18165,2024-10-31,73,BOCT,-0.005654
18165,2024-11-29,73,BOCT,0.037195
18165,2024-12-31,73,BOCT,-0.012677
18166,2023-01-31,73,POCT,0.040572
18166,2023-02-28,73,POCT,-0.010547
18166,2023-03-31,73,POCT,0.021641
18166,2023-04-28,73,POCT,0.014227
18166,2023-05-31,73,POCT,0.010131
18166,2023-06-30,73,POCT,0.032865
18166,2023-07-31,73,POCT,0.008067
18166,2023-08-31,73,POCT,0.007706
18166,2023-09-29,73,POCT,-0.001176
18166,2023-10-31,73,POCT,-0.009865
18166,2023-11-30,73,POCT,0.053085
18166,2023-12-29,73,POCT,0.020051
18166,2024-01-31,73,POCT,0.010521
18166,2024-02-29,73,POCT,0.018107
18166,2024-03-28,73,POCT,0.008856
18166,2024-04-30,73,POCT,-0.004001
18166,2024-05-31,73,POCT,0.017675
18166,2024-06-28,73,POCT,0.007632
18166,2024-07-31,73,POCT,0.006213
18166,2024-08-30,73,POCT,0.007322
18166,2024-09-30,73,POCT,0.003607
18166,2024-10-31,73,POCT,-0.006932
18166,2024-11-29,73,POCT,0.029990
18166,2024-12-31,73,POCT,-0.006868
18167,2023-01-31,73,UOCT,0.034824
18167,2023-02-28,73,UOCT,-0.007304
18167,2023-03-31,73,UOCT,0.017856
18167,2023-04-28,73,UOCT,0.012789
18167,2023-05-31,73,UOCT,0.010243
18167,2023-06-30,73,UOCT,0.023474
18167,2023-07-31,73,UOCT,0.008567
18167,2023-08-31,73,UOCT,0.006775
18167,2023-09-29,73,UOCT,0.006264
18167,2023-10-31,73,UOCT,-0.010157
18167,2023-11-30,73,UOCT,0.050314
18167,2023-12-29,73,UOCT,0.020164
18167,2024-01-31,73,UOCT,0.008965
18167,2024-02-29,73,UOCT,0.018717
18167,2024-03-28,73,UOCT,0.009726
18167,2024-04-30,73,UOCT,-0.004908
18167,2024-05-31,73,UOCT,0.017051
18167,2024-06-28,73,UOCT,0.007500
18167,2024-07-31,73,UOCT,0.005844
18167,2024-08-30,73,UOCT,0.006545
18167,2024-09-30,73,UOCT,0.003728
18167,2024-10-31,73,UOCT,-0.002011
18167,2024-11-29,73,UOCT,0.023777
18167,2024-12-31,73,UOCT,-0.008095
18168,2023-01-31,73,BSDE,0.002279
18168,2023-02-28,73,BSDE,0.000242
18168,2023-03-31,73,BSDE,
18169,2023-01-31,73,BSCE,0.005495
18169,2023-02-28,73,BSCE,0.002836
18169,2023-03-31,73,BSCE,
18174,2023-01-31,73,EAGG,0.033590
18174,2023-02-28,73,EAGG,-0.026868
18174,2023-03-31,73,EAGG,0.027130
18174,2023-04-28,73,EAGG,0.005471
18174,2023-05-31,73,EAGG,-0.011433
18174,2023-06-30,73,EAGG,-0.004859
18174,2023-07-31,73,EAGG,-0.000299
18174,2023-08-31,73,EAGG,-0.005928
18174,2023-09-29,73,EAGG,-0.025433
18174,2023-10-31,73,EAGG,-0.015536
18174,2023-11-30,73,EAGG,0.044810
18174,2023-12-29,73,EAGG,0.036972
18174,2024-01-31,73,EAGG,-0.002514
18174,2024-02-29,73,EAGG,-0.013639
18174,2024-03-28,73,EAGG,0.008228
18174,2024-04-30,73,EAGG,-0.025049
18174,2024-05-31,73,EAGG,0.017071
18174,2024-06-28,73,EAGG,0.008617
18174,2024-07-31,73,EAGG,0.023942
18174,2024-08-30,73,EAGG,0.014313
18174,2024-09-30,73,EAGG,0.013582
18174,2024-10-31,73,EAGG,-0.025510
18174,2024-11-29,73,EAGG,0.010819
18174,2024-12-31,73,EAGG,-0.017079
18175,2023-01-31,73,JMUB,0.026162
18175,2023-02-28,73,JMUB,-0.020556
18175,2023-03-31,73,JMUB,0.019003
18175,2023-04-28,73,JMUB,0.001010
18175,2023-05-31,73,JMUB,-0.007604
18175,2023-06-30,73,JMUB,0.006740
18175,2023-07-31,73,JMUB,0.002654
18175,2023-08-31,73,JMUB,-0.011314
18175,2023-09-29,73,JMUB,-0.020620
18175,2023-10-31,73,JMUB,-0.011800
18175,2023-11-30,73,JMUB,0.055196
18175,2023-12-29,73,JMUB,0.021787
18175,2024-01-31,73,JMUB,0.001472
18175,2024-02-29,73,JMUB,-0.001075
18175,2024-03-28,73,JMUB,0.000907
18175,2024-04-30,73,JMUB,-0.008772
18175,2024-05-31,73,JMUB,0.000223
18175,2024-06-28,73,JMUB,0.010292
18175,2024-07-31,73,JMUB,0.012570
18175,2024-08-30,73,JMUB,0.003202
18175,2024-09-30,73,JMUB,0.010626
18175,2024-10-31,73,JMUB,-0.011880
18175,2024-11-29,73,JMUB,0.011973
18175,2024-12-31,73,JMUB,-0.010499
18176,2023-01-31,73,JMST,0.005046
18176,2023-02-28,73,JMST,-0.002073
18176,2023-03-31,73,JMST,0.006620
18176,2023-04-28,73,JMST,0.000986
18176,2023-05-31,73,JMST,-0.000144
18176,2023-06-30,73,JMST,0.003537
18176,2023-07-31,73,JMST,0.002668
18176,2023-08-31,73,JMST,0.001701
18176,2023-09-29,73,JMST,-0.000288
18176,2023-10-31,73,JMST,0.003260
18176,2023-11-30,73,JMST,0.008251
18176,2023-12-29,73,JMST,0.005465
18176,2024-01-31,73,JMST,0.001971
18176,2024-02-29,73,JMST,0.002154
18176,2024-03-28,73,JMST,0.001478
18176,2024-04-30,73,JMST,0.001673
18176,2024-05-31,73,JMST,0.003158
18176,2024-06-28,73,JMST,0.003935
18176,2024-07-31,73,JMST,0.005626
18176,2024-08-30,73,JMST,0.003678
18176,2024-09-30,73,JMST,0.002849
18176,2024-10-31,73,JMST,0.000128
18176,2024-11-29,73,JMST,0.004529
18176,2024-12-31,73,JMST,0.001348
18178,2023-01-31,73,TMFS,0.112348
18178,2023-02-28,73,TMFS,-0.024518
18178,2023-03-31,73,TMFS,0.006099
18178,2023-04-28,73,TMFS,0.018852
18178,2023-05-31,73,TMFS,-0.017845
18178,2023-06-30,73,TMFS,0.075714
18178,2023-07-31,73,TMFS,0.049353
18178,2023-08-31,73,TMFS,-0.032504
18178,2023-09-29,73,TMFS,-0.044433
18178,2023-10-31,73,TMFS,-0.069520
18178,2023-11-30,73,TMFS,0.055016
18178,2023-12-29,73,TMFS,0.120519
18178,2024-01-31,73,TMFS,-0.044031
18178,2024-02-29,73,TMFS,0.053060
18178,2024-03-28,73,TMFS,0.032713
18178,2024-04-30,73,TMFS,-0.076524
18178,2024-05-31,73,TMFS,0.051207
18178,2024-06-28,73,TMFS,0.005433
18178,2024-07-31,73,TMFS,0.084475
18178,2024-08-30,73,TMFS,-0.033664
18178,2024-09-30,73,TMFS,0.018013
18178,2024-10-31,73,TMFS,0.034284
18178,2024-11-29,73,TMFS,0.136953
18178,2024-12-31,73,TMFS,-0.093405
18180,2023-01-31,73,ROKT,0.071626
18180,2023-02-28,73,ROKT,-0.005617
18180,2023-03-31,73,ROKT,-0.025188
18180,2023-04-28,73,ROKT,-0.012783
18180,2023-05-31,73,ROKT,-0.004412
18180,2023-06-30,73,ROKT,0.092000
18180,2023-07-31,73,ROKT,0.004031
18180,2023-08-31,73,ROKT,-0.035391
18180,2023-09-29,73,ROKT,-0.068964
18180,2023-10-31,73,ROKT,-0.017564
18180,2023-11-30,73,ROKT,0.079884
18180,2023-12-29,73,ROKT,0.072675
18180,2024-01-31,73,ROKT,-0.053986
18180,2024-02-29,73,ROKT,0.039105
18180,2024-03-28,73,ROKT,0.021814
18180,2024-04-30,73,ROKT,-0.029347
18180,2024-05-31,73,ROKT,0.043415
18180,2024-06-28,73,ROKT,-0.015766
18180,2024-07-31,73,ROKT,0.095934
18180,2024-08-30,73,ROKT,0.007979
18180,2024-09-30,73,ROKT,0.027679
18180,2024-10-31,73,ROKT,-0.005377
18180,2024-11-29,73,ROKT,0.193950
18180,2024-12-31,73,ROKT,-0.052645
18181,2023-01-31,73,KOMP,0.122780
18181,2023-02-28,73,KOMP,-0.033891
18181,2023-03-31,73,KOMP,0.000878
18181,2023-04-28,73,KOMP,-0.040984
18181,2023-05-31,73,KOMP,0.004151
18181,2023-06-30,73,KOMP,0.088240
18181,2023-07-31,73,KOMP,0.066816
18181,2023-08-31,73,KOMP,-0.094367
18181,2023-09-29,73,KOMP,-0.078067
18181,2023-10-31,73,KOMP,-0.067544
18181,2023-11-30,73,KOMP,0.130246
18181,2023-12-29,73,KOMP,0.124194
18181,2024-01-31,73,KOMP,-0.064668
18181,2024-02-29,73,KOMP,0.061813
18181,2024-03-28,73,KOMP,0.038485
18181,2024-04-30,73,KOMP,-0.069052
18181,2024-05-31,73,KOMP,0.046470
18181,2024-06-28,73,KOMP,-0.013088
18181,2024-07-31,73,KOMP,0.058606
18181,2024-08-30,73,KOMP,-0.007792
18181,2024-09-30,73,KOMP,0.021464
18181,2024-10-31,73,KOMP,-0.003041
18181,2024-11-29,73,KOMP,0.108174
18181,2024-12-31,73,KOMP,-0.063855
18182,2023-01-31,73,CNRG,0.121259
18182,2023-02-28,73,CNRG,-0.064418
18182,2023-03-31,73,CNRG,0.009481
18182,2023-04-28,73,CNRG,-0.055235
18182,2023-05-31,73,CNRG,-0.021612
18182,2023-06-30,73,CNRG,0.058044
18182,2023-07-31,73,CNRG,-0.003335
18182,2023-08-31,73,CNRG,-0.102075
18182,2023-09-29,73,CNRG,-0.106754
18182,2023-10-31,73,CNRG,-0.110364
18182,2023-11-30,73,CNRG,0.078907
18182,2023-12-29,73,CNRG,0.113135
18182,2024-01-31,73,CNRG,-0.137441
18182,2024-02-29,73,CNRG,0.019664
18182,2024-03-28,73,CNRG,0.029475
18182,2024-04-30,73,CNRG,-0.092727
18182,2024-05-31,73,CNRG,0.155150
18182,2024-06-28,73,CNRG,-0.107033
18182,2024-07-31,73,CNRG,0.055187
18182,2024-08-30,73,CNRG,-0.028177
18182,2024-09-30,73,CNRG,0.067463
18182,2024-10-31,73,CNRG,-0.056416
18182,2024-11-29,73,CNRG,0.044002
18182,2024-12-31,73,CNRG,-0.064168
18186,2023-01-31,73,LSAF,0.073913
18186,2023-02-28,73,LSAF,-0.019341
18186,2023-03-31,73,LSAF,-0.039978
18186,2023-04-28,73,LSAF,0.000227
18186,2023-05-31,73,LSAF,-0.047940
18186,2023-06-30,73,LSAF,0.096537
18186,2023-07-31,73,LSAF,0.039873
18186,2023-08-31,73,LSAF,-0.009805
18186,2023-09-29,73,LSAF,-0.033041
18186,2023-10-31,73,LSAF,-0.033737
18186,2023-11-30,73,LSAF,0.074626
18186,2023-12-29,73,LSAF,0.058020
18186,2024-01-31,73,LSAF,0.013828
18186,2024-02-29,73,LSAF,0.060298
18186,2024-03-28,73,LSAF,0.057368
18186,2024-04-30,73,LSAF,-0.062382
18186,2024-05-31,73,LSAF,0.038766
18186,2024-06-28,73,LSAF,-0.009616
18186,2024-07-31,73,LSAF,0.046321
18186,2024-08-30,73,LSAF,0.018214
18186,2024-09-30,73,LSAF,0.028124
18186,2024-10-31,73,LSAF,-0.012856
18186,2024-11-29,73,LSAF,0.081660
18186,2024-12-31,73,LSAF,-0.079073
18187,2023-01-31,73,ESPO,0.139524
18187,2023-02-28,73,ESPO,-0.047297
18187,2023-03-31,73,ESPO,0.136471
18187,2023-04-28,73,ESPO,-0.036498
18187,2023-05-31,73,ESPO,0.029637
18187,2023-06-30,73,ESPO,0.062714
18187,2023-07-31,73,ESPO,0.052377
18187,2023-08-31,73,ESPO,-0.076359
18187,2023-09-29,73,ESPO,-0.048533
18187,2023-10-31,73,ESPO,-0.026959
18187,2023-11-30,73,ESPO,0.101056
18187,2023-12-29,73,ESPO,0.036789
18187,2024-01-31,73,ESPO,0.005993
18187,2024-02-29,73,ESPO,0.079376
18187,2024-03-28,73,ESPO,0.014935
18187,2024-04-30,73,ESPO,-0.038228
18187,2024-05-31,73,ESPO,0.080492
18187,2024-06-28,73,ESPO,0.029860
18187,2024-07-31,73,ESPO,0.014796
18187,2024-08-30,73,ESPO,0.039470
18187,2024-09-30,73,ESPO,0.077926
18187,2024-10-31,73,ESPO,-0.019453
18187,2024-11-29,73,ESPO,0.135925
18187,2024-12-31,73,ESPO,-0.011742
18188,2023-01-31,73,MOTG,0.072203
18188,2023-02-28,73,MOTG,-0.037200
18188,2023-03-31,73,MOTG,0.019099
18188,2023-04-28,73,MOTG,0.011623
18188,2023-05-31,73,MOTG,-0.036203
18188,2023-06-30,73,MOTG,0.055473
18188,2023-07-31,73,MOTG,0.026826
18188,2023-08-31,73,MOTG,-0.051397
18188,2023-09-29,73,MOTG,-0.051234
18188,2023-10-31,73,MOTG,-0.038301
18188,2023-11-30,73,MOTG,0.083405
18188,2023-12-29,73,MOTG,0.064463
18188,2024-01-31,73,MOTG,-0.019106
18188,2024-02-29,73,MOTG,0.035415
18188,2024-03-28,73,MOTG,0.030899
18188,2024-04-30,73,MOTG,-0.041771
18188,2024-05-31,73,MOTG,0.031199
18188,2024-06-28,73,MOTG,-0.011393
18188,2024-07-31,73,MOTG,0.055320
18188,2024-08-30,73,MOTG,0.047114
18188,2024-09-30,73,MOTG,0.026027
18188,2024-10-31,73,MOTG,-0.046622
18188,2024-11-29,73,MOTG,0.029010
18188,2024-12-31,73,MOTG,-0.038932
18189,2023-01-31,73,DURA,0.002355
18189,2023-02-28,73,DURA,-0.030314
18189,2023-03-31,73,DURA,0.010649
18189,2023-04-28,73,DURA,0.012510
18189,2023-05-31,73,DURA,-0.031185
18189,2023-06-30,73,DURA,0.045669
18189,2023-07-31,73,DURA,0.023315
18189,2023-08-31,73,DURA,-0.021864
18189,2023-09-29,73,DURA,-0.043882
18189,2023-10-31,73,DURA,-0.031736
18189,2023-11-30,73,DURA,0.045540
18189,2023-12-29,73,DURA,0.032745
18189,2024-01-31,73,DURA,-0.007226
18189,2024-02-29,73,DURA,0.003933
18189,2024-03-28,73,DURA,0.044946
18189,2024-04-30,73,DURA,-0.019381
18189,2024-05-31,73,DURA,0.015006
18189,2024-06-28,73,DURA,-0.005921
18189,2024-07-31,73,DURA,0.051045
18189,2024-08-30,73,DURA,0.041926
18189,2024-09-30,73,DURA,0.006996
18189,2024-10-31,73,DURA,-0.005152
18189,2024-11-29,73,DURA,0.022138
18189,2024-12-31,73,DURA,-0.061037
18196,2023-01-31,73,FPXE,0.068057
18196,2023-02-28,73,FPXE,-0.005401
